itt,dur,rslc,rt,mt
50,600.0,31488,1263125,33.21354675292969
49,1090.91,18373,1281498,33.312896728515625
48,857.14,13795,1295293,33.297119140625
47,461.54,17247,1312540,33.30841064453125
46,1.0e3,14177,1326717,33.34962463378906
45,50.0,15232,1341949,33.33226776123047
44,150.0,17573,1359522,33.41716003417969
43,1.2e3,14987,1374509,33.46429443359375
42,1090.91,13562,1388071,33.322662353515625
41,3.2e3,17478,1405549,33.33415222167969
40,57.69,15578,1421127,33.33521270751953
39,4363.64,15606,1436733,33.34880065917969
38,272.73,15662,1452395,33.31221008300781
37,107.14,15528,1467923,33.32371520996094
36,4.0e3,15529,1483452,33.32996368408203
35,100.0,14362,1497814,33.295196533203125
34,1.2e3,17315,1515129,33.26495361328125
33,250.0,13554,1528683,33.27434539794922
32,1333.33,15296,1543979,33.298614501953125
31,461.54,15528,1559507,33.37042236328125
30,2.0e3,17226,1576733,33.405479431152344
29,200.0,15590,1592323,33.287818908691406
28,214.29,13417,1605740,33.296165466308594
27,857.14,15853,1621593,33.32959747314453
26,62.5,14672,1636265,33.394737243652344
25,2.4e3,16013,1652278,33.66233825683594
24,3428.57,14976,1667254,33.73145294189453
23,150.0,17184,1684438,33.75798797607422
22,107.14,13510,1697948,33.691802978515625
21,300.0,16206,1714154,33.74427032470703
20,545.45,16841,1730995,33.810882568359375
19,53.57,13632,1744627,33.6944580078125
18,230.77,16656,1761283,33.740089416503906
17,4363.64,15646,1776929,33.760047912597656
16,1846.15,13370,1790299,33.76591491699219
15,5333.33,17173,1807472,33.791412353515625
14,4.0e3,15434,1822906,33.69886779785156
13,428.57,16169,1839075,33.76068878173828
12,1.6e3,15059,1854134,33.780555725097656
11,125.0,13492,1867626,33.70433807373047
10,5333.33,15279,1882905,33.762054443359375
9,4.0e3,16980,1899885,33.78984832763672
8,4.0e3,13775,1913660,33.70624542236328
7,2666.67,15640,1929300,33.73081970214844
6,214.29,17029,1946329,33.791419982910156
5,600.0,13898,1960227,33.721405029296875
4,2181.82,16474,1976701,33.795204162597656
3,2.0e3,14095,1990796,33.677947998046875
2,136.36,14899,2005695,33.72599792480469
1,1.6e3,17180,2022875,33.78380584716797
itt,dur,rslc,rt,mt
50,545.45,21205,2044080,33.34608459472656
49,4363.64,13502,2057582,33.36857604980469
48,1714.29,16182,2073764,33.37572479248047
47,100.0,17193,2090957,33.361572265625
46,1846.15,15512,2106469,33.367835998535156
45,3428.57,13638,2120107,33.415855407714844
44,666.67,15417,2135524,33.504608154296875
43,107.14,14708,2150232,33.51905822753906
42,62.5,15795,2166027,33.41504669189453
41,300.0,17397,2183424,33.41138458251953
40,50.0,15492,2198916,33.424171447753906
39,666.67,13599,2212515,33.40399169921875
38,1.0e3,15586,2228101,33.399200439453125
37,857.14,17381,2245482,33.414939880371094
36,4.8e3,13659,2259141,33.415977478027344
35,3692.31,15959,2275100,33.38880157470703
34,50.0,17349,2292449,33.382240295410156
33,1714.29,15036,2307485,33.38158416748047
32,2666.67,13527,2321012,33.394317626953125
31,1.2e3,15485,2336497,33.3875732421875
30,400.0,15339,2351836,33.39703369140625
29,57.69,15411,2367247,33.48927307128906
28,800.0,17255,2384502,33.513710021972656
27,1090.91,13383,2397885,33.39472961425781
26,1333.33,17757,2415642,33.39703369140625
25,115.38,16197,2431839,33.40397644042969
24,1.2e3,15465,2447304,33.401649475097656
23,200.0,15339,2462643,33.41241455078125
22,100.0,15604,2478247,33.43486022949219
21,3692.31,15527,2493774,33.44105529785156
20,2.4e3,15604,2509378,33.44617462158203
19,428.57,13543,2522921,33.44474792480469
18,50.0,15405,2538326,33.45520782470703
17,75.0,16918,2555244,33.418548583984375
16,2.4e3,13453,2568697,33.457313537597656
15,2.0e3,17381,2586078,33.45637512207031
14,1.0e3,13547,2599625,33.455360412597656
13,166.67,17573,2617198,33.4466552734375
12,4.0e3,15552,2632750,33.44939422607422
11,4.8e3,15407,2648157,33.45020294189453
10,62.5,13434,2661591,33.46141815185547
9,545.45,17313,2678904,33.44512176513672
8,2666.67,15650,2694554,33.43682861328125
7,3692.31,13429,2707983,33.449493408203125
6,166.67,18197,2726180,33.45013427734375
5,83.33,15590,2741770,33.42597961425781
4,75.0,15745,2757515,33.43061828613281
3,400.0,15681,2773196,33.49424743652344
2,272.73,15507,2788703,33.467994689941406
1,800.0,15477,2804180,33.47754669189453
